Column Name	type	Description
GZH_ID	String	unique object ID, match to Zooniverse_ID 
IMAGING	String	Survey 
correction_type	String	
total_count	Short	
total_weight	Float	
t01_smooth_or_features_a01_smooth_fraction	Float	
t01_smooth_or_features_a01_smooth_weighted_fraction	Float	
t01_smooth_or_features_a01_smooth_debiased_fraction	Double	
t01_smooth_or_features_a01_smooth_best_fraction	Double	
t01_smooth_or_features_a01_smooth_lower_limit	Double	
t01_smooth_or_features_a01_smooth_upper_limit	Double	
t01_smooth_or_features_a02_features_or_disk_fraction	Float	
t01_smooth_or_features_a02_features_or_disk_weighted_fraction	Float	
t01_smooth_or_features_a02_features_or_disk_debiased_fraction	Double	
t01_smooth_or_features_a02_features_or_disk_best_fraction	Double	
t01_smooth_or_features_a02_features_or_disk_lower_limit	Double	
t01_smooth_or_features_a02_features_or_disk_upper_limit	Double	
t01_smooth_or_features_a03_star_or_artifact_fraction	Float	
t01_smooth_or_features_a03_star_or_artifact_weighted_fraction	Float	
t01_smooth_or_features_total_count	Short	
t01_smooth_or_features_total_weight	Float	
t02_edgeon_a01_yes_fraction	Float	
t02_edgeon_a01_yes_weighted_fraction	Float	
t02_edgeon_a02_no_fraction	Float	
t02_edgeon_a02_no_weighted_fraction	Float	
t02_edgeon_total_count	Short	
t02_edgeon_total_weight	Float	
t03_bar_a01_bar_fraction	Float	
t03_bar_a01_bar_weighted_fraction	Float	
t03_bar_a02_no_bar_fraction	Float	
t03_bar_a02_no_bar_weighted_fraction	Float	
t03_bar_total_count	Short	
t03_bar_total_weight	Float	
t04_spiral_a01_spiral_fraction	Float	
t04_spiral_a01_spiral_weighted_fraction	Float	
t04_spiral_a02_no_spiral_fraction	Float	
t04_spiral_a02_no_spiral_weighted_fraction	Float	
t04_spiral_total_count	Short	
t04_spiral_total_weight	Float	
t05_bulge_prominence_a01_no_bulge_fraction	Float	
t05_bulge_prominence_a01_no_bulge_weighted_fraction	Float	
t05_bulge_prominence_a02_just_noticeable_fraction	Float	
t05_bulge_prominence_a02_just_noticeable_weighted_fraction	Float	
t05_bulge_prominence_a03_obvious_fraction	Float	
t05_bulge_prominence_a03_obvious_weighted_fraction	Float	
t05_bulge_prominence_a04_dominant_fraction	Float	
t05_bulge_prominence_a04_dominant_weighted_fraction	Float	
t05_bulge_prominence_total_count	Short	
t05_bulge_prominence_total_weight	Float	
t06_odd_a01_yes_fraction	Float	
t06_odd_a01_yes_weighted_fraction	Float	
t06_odd_a02_no_fraction	Float	
t06_odd_a02_no_weighted_fraction	Float	
t06_odd_total_count	Short	
t06_odd_total_weight	Float	
t07_rounded_a01_completely_round_fraction	Float	
t07_rounded_a01_completely_round_weighted_fraction	Float	
t07_rounded_a02_in_between_fraction	Float	
t07_rounded_a02_in_between_weighted_fraction	Float	
t07_rounded_a03_cigar_shaped_fraction	Float	
t07_rounded_a03_cigar_shaped_weighted_fraction	Float	
t07_rounded_total_count	Short	
t07_rounded_total_weight	Float	
t08_odd_feature_a01_ring_fraction	Float	
t08_odd_feature_a01_ring_weighted_fraction	Float	
t08_odd_feature_a02_lens_or_arc_fraction	Float	
t08_odd_feature_a02_lens_or_arc_weighted_fraction	Float	
t08_odd_feature_a03_disturbed_fraction	Float	
t08_odd_feature_a03_disturbed_weighted_fraction	Float	
t08_odd_feature_a04_irregular_fraction	Float	
t08_odd_feature_a04_irregular_weighted_fraction	Float	
t08_odd_feature_a05_other_fraction	Float	
t08_odd_feature_a05_other_weighted_fraction	Float	
t08_odd_feature_a06_merger_fraction	Float	
t08_odd_feature_a06_merger_weighted_fraction	Float	
t08_odd_feature_a07_dust_lane_fraction	Float	
t08_odd_feature_a07_dust_lane_weighted_fraction	Float	
t08_odd_feature_total_count	Short	
t08_odd_feature_total_weight	Float	
t09_bulge_shape_a01_rounded_fraction	Float	
t09_bulge_shape_a01_rounded_weighted_fraction	Float	
t09_bulge_shape_a02_boxy_fraction	Float	
t09_bulge_shape_a02_boxy_weighted_fraction	Float	
t09_bulge_shape_a03_no_bulge_fraction	Float	
t09_bulge_shape_a03_no_bulge_weighted_fraction	Float	
t09_bulge_shape_total_count	Short	
t09_bulge_shape_total_weight	Float	
t10_arms_winding_a01_tight_fraction	Float	
t10_arms_winding_a01_tight_weighted_fraction	Float	
t10_arms_winding_a02_medium_fraction	Float	
t10_arms_winding_a02_medium_weighted_fraction	Float	
t10_arms_winding_a03_loose_fraction	Float	
t10_arms_winding_a03_loose_weighted_fraction	Float	
t10_arms_winding_total_count	Short	
t10_arms_winding_total_weight	Float	
t11_arms_number_a01_1_fraction	Float	
t11_arms_number_a01_1_weighted_fraction	Float	
t11_arms_number_a02_2_fraction	Float	
t11_arms_number_a02_2_weighted_fraction	Float	
t11_arms_number_a03_3_fraction	Float	
t11_arms_number_a03_3_weighted_fraction	Float	
t11_arms_number_a04_4_fraction	Float	
t11_arms_number_a04_4_weighted_fraction	Float	
t11_arms_number_a05_more_than_4_fraction	Float	
t11_arms_number_a05_more_than_4_weighted_fraction	Float	
t11_arms_number_a06_cant_tell_fraction	Float	
t11_arms_number_a06_cant_tell_weighted_fraction	Float	
t11_arms_number_total_count	Short	
t11_arms_number_total_weight	Float	
t12_clumpy_a01_yes_fraction	Float	
t12_clumpy_a01_yes_weighted_fraction	Float	
t12_clumpy_a02_no_fraction	Float	
t12_clumpy_a02_no_weighted_fraction	Float	
t12_clumpy_total_count	Short	
t12_clumpy_total_weight	Float	
t13_bright_clump_a01_yes_fraction	Float	
t13_bright_clump_a01_yes_weighted_fraction	Float	
t13_bright_clump_a02_no_fraction	Float	
t13_bright_clump_a02_no_weighted_fraction	Float	
t13_bright_clump_total_count	Short	
t13_bright_clump_total_weight	Float	
t14_bright_clump_central_a01_yes_fraction	Float	
t14_bright_clump_central_a01_yes_weighted_fraction	Float	
t14_bright_clump_central_a02_no_fraction	Float	
t14_bright_clump_central_a02_no_weighted_fraction	Float	
t14_bright_clump_central_total_count	Short	
t14_bright_clump_central_total_weight	Float	
t15_clumps_arrangement_a01_line_fraction	Float	
t15_clumps_arrangement_a01_line_weighted_fraction	Float	
t15_clumps_arrangement_a02_chain_fraction	Float	
t15_clumps_arrangement_a02_chain_weighted_fraction	Float	
t15_clumps_arrangement_a03_cluster_fraction	Float	
t15_clumps_arrangement_a03_cluster_weighted_fraction	Float	
t15_clumps_arrangement_a04_spiral_fraction	Float	
t15_clumps_arrangement_a04_spiral_weighted_fraction	Float	
t15_clumps_arrangement_total_count	Short	
t15_clumps_arrangement_total_weight	Float	
t16_clumps_count_a02_2_fraction	Float	
t16_clumps_count_a02_2_weighted_fraction	Float	
t16_clumps_count_a03_3_fraction	Float	
t16_clumps_count_a03_3_weighted_fraction	Float	
t16_clumps_count_a04_4_fraction	Float	
t16_clumps_count_a04_4_weighted_fraction	Float	
t16_clumps_count_a05_more_than_4_fraction	Float	
t16_clumps_count_a05_more_than_4_weighted_fraction	Float	
t16_clumps_count_a06_cant_tell_fraction	Float	
t16_clumps_count_a06_cant_tell_weighted_fraction	Float	
t16_clumps_count_a01_1_fraction	Float	
t16_clumps_count_a01_1_weighted_fraction	Float	
t16_clumps_count_total_count	Short	
t16_clumps_count_total_weight	Float	
t17_clumps_symmetrical_a01_yes_fraction	Float	
t17_clumps_symmetrical_a01_yes_weighted_fraction	Float	
t17_clumps_symmetrical_a02_no_fraction	Float	
t17_clumps_symmetrical_a02_no_weighted_fraction	Float	
t17_clumps_symmetrical_total_count	Short	
t17_clumps_symmetrical_total_weight	Float	
t18_clumps_embedded_a01_yes_fraction	Float	
t18_clumps_embedded_a01_yes_weighted_fraction	Float	
t18_clumps_embedded_a02_no_fraction	Float	
t18_clumps_embedded_a02_no_weighted_fraction	Float	
t18_clumps_embedded_total_count	Short	
t18_clumps_embedded_total_weight	Float	